Fund_Name,EOM_Date,Instrument_ID,Instrument_Type,Position,Fund_Price,Market_Value,Realized_PL
Applebead,2022-08-31,ACGL,Equities,184611.9567,45.7200,8440458.6605,-45146.6672
Applebead,2022-08-31,ANSS,Equities,272170.7705,248.3000,67580002.3037,-155192.2077
Applebead,2022-08-31,ARE,Equities,194106.2859,147.7100,28671439.4911,74118.2839
Applebead,2022-08-31,AVY,Equities,152964.1927,180.5200,27613096.0657,-18090.6195
Applebead,2022-08-31,AXP,Equities,310148.0873,149.8300,46469487.9144,204368.4078
Applebead,2022-08-31,AZO,Equities,269005.9941,2119.2100,570080192.6579,1461803.7568
Applebead,2022-08-31,BBY,Equities,126591.0560,67.4500,8538566.7289,13778.0532
Applebead,2022-08-31,BK,Equities,198325.9878,40.1100,7954855.3696,4534.3584
Applebead,2022-08-31,BR,Equities,103382.6958,167.9100,17358988.4440,-58223.6676
Applebead,2022-08-31,CAG,Equities,135030.4598,33.1100,4470858.5227,9079.8679
Applebead,2022-08-31,COP,Equities,270060.9195,104.1700,28132245.9864,-148288.4801
Applebead,2022-08-31,CPB,Equities,147689.5654,48.9400,7227927.3288,-1030.0145
Applebead,2022-08-31,CPRT,Equities,122371.3542,29.9100,3660127.2029,19193.8698
Applebead,2022-08-31,CRL,Equities,272170.7705,205.2500,55863050.6357,129146.1222
Applebead,2022-08-31,CSCO,Equities,133975.5343,43.3000,5801140.6349,25530.6985
Applebead,2022-08-31,DAL,Equities,32702.6895,31.0000,1013783.3737,-5540.6691
Applebead,2022-08-31,DGX,Equities,201490.7642,122.8300,24749110.5634,-43036.4606
Applebead,2022-08-31,DRI,Equities,175117.6275,119.6500,20952824.1305,-135727.9301
Applebead,2022-08-31,EBAY,Equities,166678.2238,43.4100,7235501.6937,41044.9697
Applebead,2022-08-31,ENPH,Equities,91778.5156,286.4400,26289038.0137,102467.8025
Applebead,2022-08-31,EW,Equities,224699.1244,90.1000,20245391.1125,-26932.4356
Applebead,2022-08-31,EXR,Equities,184611.9567,189.9100,35059656.6975,-59986.1547
Applebead,2022-08-31,FOXA,Equities,171952.8511,33.9400,5836079.7664,-3794.1717
Applebead,2022-08-31,GOOG,Equities,84394.0374,109.1500,9211609.1768,26392.9888
