Instrument_ID,EOM_Date,Fund_Name,Instrument_Type,Fund_Price,Final_Reference_Price,Price_Difference,Price_Source_Flag
NVR,2023-06-30,rpt-Catalysm,Equities,6350.62,0.0,6350.6201171875,No Reference Price Found
NVR,2023-07-31,Wallington,Equities,6306.44,0.0,6306.43994140625,No Reference Price Found
NVR,2023-08-31,Wallington,Equities,6026.01,0.0,6026.009765625,No Reference Price Found
NVR,2023-04-30,rpt-Catalysm,Equities,5840.0,0.0,5840.0,No Reference Price Found
NVR,2023-03-31,rpt-Catalysm,Equities,5572.19,0.0,5572.18994140625,No Reference Price Found
NVR,2023-05-31,rpt-Catalysm,Equities,5554.22,0.0,5554.22021484375,No Reference Price Found
NVR,2023-01-31,rpt-Catalysm,Equities,5270.0,0.0,5270.0,No Reference Price Found
NVR,2023-02-28,rpt-Catalysm,Equities,5173.62,0.0,5173.6201171875,No Reference Price Found
NVR,2022-11-30,rpt-Catalysm,Equities,4639.01,0.0,4639.009765625,No Reference Price Found
NVR,2022-12-31,rpt-Catalysm,Equities,4612.58,0.0,4612.580078125,No Reference Price Found
NVR,2022-10-31,Wallington,Equities,4237.75,0.0,4237.75,No Reference Price Found
NVR,2022-08-31,rpt-Catalysm,Equities,4140.06,0.0,4140.06005859375,No Reference Price Found
NVR,2022-09-30,rpt-Catalysm,Equities,3987.08,0.0,3987.080078125,No Reference Price Found
AZO,2023-04-30,Applebead,Equities,2663.31,0.0,2663.31005859375,No Reference Price Found
AZO,2022-11-30,Applebead,Equities,2579.0,0.0,2579.0,No Reference Price Found
AZO,2022-10-31,Applebead,Equities,2532.88,0.0,2532.8798828125,No Reference Price Found
AZO,2023-06-30,Applebead,Equities,2493.36,0.0,2493.360107421875,No Reference Price Found
AZO,2023-02-28,Applebead,Equities,2486.54,0.0,2486.5400390625,No Reference Price Found
AZO,2023-07-31,Applebead,Equities,2481.72,0.0,2481.719970703125,No Reference Price Found
